Standard;Constituent;Al2O3;CaO;CO2;Fe2O3;Fe2O3-T;FeO;H2O;H2O+;H2O-;H2O-T;K2O;Li2O;MgO;MnO;Na2O;P2O5;SiO2;TiO2;B2O3;BaO;Cs2O;Cr2O3;CuO;NiO;Rb2O;SrO;WO3;ZnO;ZrO2;Oxide Sum;Ag;Al;As;Au;B;Ba;Be;Bi;Br;C;Ca;Cd;Ce;Cl;Co;Cr;Cs;Cu;Dy;Er;Eu;F;Fe;Ga;Gd;Ge;H;Hf;Hg;Ho;I;In;Ir;K;La;Li;Lu;Mg;Mn;Mo;N;Na;Nb;Nd;Ni;O;Os;P;Pb;Pd;Pr;Pt;Ra;Rb;Re;Rh;Ru;S;Sb;Sc;Se;Si;Sm;Sn;Sr;Ta;Tb;Te;Th;Ti;Tl;Tm;U;V;W;Y;Yb;Zn;Zr;Carbon Total;Carbon Inorga;Carbon Organic;Carbon Organic Calc;Ag-107;Ag-109;Ag-109/107;Ar-36;Ar-38/36;Ar-40/36;B-11/10;Ba-130/138;Ba-135/138;Ba-136/138;Cd-106;Cd-108;Cd-110;Cd-111;Cd-112;Cd-113;Cd-114;Cd-114/116;Cd-116;Ce-138/142;Cu-63;Cu-63/65;Cu-65;dC-13 -;dN-15 +;dO-18 Biotite;dO-18 K-feldspar;dO-18 Plagioclase;dO-18 Quartz;dO-18 Whole Rock;dS-34 +;dS-34 -;He-3/4;He-4;Hf-176/177;Kr-78/84;Kr-80/84;Kr-82/84;Kr-83/84;Kr-84;Kr-86/84;Li-7/6;Nd-142/144;Nd-143/144;Nd-145/144;Nd-146/144;Nd-148/144;Nd-150/144;Ne-20;Ne-20/22;Ne-21/22;NH4;Pb-204;Pb-206;Pb-207;Pb-208;Pb-206/204;Pb-207/204;Pb-208/204;Pb-208/206;Ra;Ra-226;Ra-228;Ra-228/226;Sm-147/Nd-14;Sr-87/86;Tl-203;Tl-205;Tl-205/203;Thorium Series Isotopes;Th-228/232;Th-230/232;U-series;U-234/238;U-238/235;V-51/50;Xe-128/132;Xe-129/132;Xe-130/132;Xe-131/132;Xe-132;Xe-134/132;Xe-136/132;Zn-68/64;Age;Loss on Ignition;Comment
JGb-1;Data Quality;Recommended value;Recommended value;;Recommended value;Recommended value;Recommended value;;Recommended value;Recommended value;;Recommended value;;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;;Recommended value;;;;Recommended value;;Recommended value;Recommended value;Not provided by compiler;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;Provisional value;;Provisional value;Recommended value;Recommended value;Recommended value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;;Recommended value;Provisional value;Recommended value;;Provisional value;;Recommended value;Recommended value;Recommended value;Recommended value;;Recommended value;Recommended value;;Recommended value;Recommended value;Recommended value;Recommended value;;Provisional value;Recommended value;Recommended value;Provisional value;Recommended value;Provisional value;;Recommended value;Provisional value;;;Recommended value;Provisional value;Recommended value;Provisional value;;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;Recommended value;;Provisional value;Recommended value;Recommended value;Recommended value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provisional value;Provisional value;Provisional value;;Provisional value;;;;;;;;;;;;;;;;;;;Provisional value;;
JLk-1;Concentration;16.73;0.686;0.075;4.251;6.929;2.191;;6.372;3.701;;2.805;;1.736;0.266;1.051;0.208;57.16;0.668;0.00805;0.0640871;;0.0100847;;;;0.007982618;;0.01892035;0.018495;;0.198;;26.8;0.00542;25;574;3.31;2;8.7;;;0.572;87.9;190;18;69;10.9;62.6;6.57;3.59;1.27;589;;21.4;6.02;2.2;;3.78;0.142;1.06;25;;;;40.6;51.5;0.571;;;2.19;;;15.8;35.7;35;;;;43.7;0.003;8.53;0.0014;;147;;;;1052;1.68;15.9;0.641;;7.87;5.7;67.5;1.57;1.23;113;19.5;;1.17;0.531;3.83;117;3.99;40;3.99;152;137;1.503;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JLk-1;Uncertainty;0.184;0.0324;;0.262;0.219;0.269;;0.354;0.329;;0.0544;;0.0548;0.0174;0.0482;0.00622;0.275;0.0301;;0.00489027;;0.000496927;;;;0.00053927;;0.00124476;0.0011772;;;;0.99;0.00198;;43.8;0.48;;;;;;9.49;;0.72;3.4;1.89;4.92;0.79;0.42;0.069;82.1;;2.73;0.82;;;0.28;0.0133;0.42;;;;;1.33;2.79;0.079;;;0.41;;;1.35;5.24;3.12;;;;3.69;;1.64;;;10.8;;;;89.8;0.53;0.44;0.199;;0.45;;4.56;0.37;0.12;;0.92;;0.32;0.097;0.4;7.55;1.18;5.52;0.34;10;8.72;0.0206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JLk-1;Units;%;%;%;%;%;%;;%;%;;%;;%;%;%;%;%;%;%;%;;%;;;;%;;%;%;;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;;;;ppm;ppm;ppm;;;ppm;;;ppm;ppm;ppm;;;;ppm;ppm;ppm;ppm;;ppm;;;;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JLk-1;N;16;18;1;7;18;9;;7;8;;21;;19;20;21;12;13;18;2;17;;18;;;;18;;16;12;;2;;7;4;2;17;4;2;2;;;2;17;1;19;18;13;14;9;7;10;5;;4;5;1;;10;3;5;1;;;;14;4;11;;;3;;;9;9;14;;;;13;2;9;1;;19;;;;6;4;14;3;;12;2;18;9;10;1;17;;5;4;12;14;3;14;11;16;12;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JLk-1;Data Quality;Recommended value;Recommended value;Provisional value;Recommended value;Recommended value;Recommended value;;Recommended value;Recommended value;;Recommended value;;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Not provided by compiler;Recommended value;;Recommended value;;;;Recommended value;;Recommended value;Recommended value;;Provisional value;;Recommended value;Provisional value;Not provided by compiler;Recommended value;Provisional value;Not provided by compiler;Provisional value;;;Provisional value;Recommended value;Not provided by compiler;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;;Provisional value;Recommended value;Not provided by compiler;;Recommended value;Provisional value;Recommended value;Not provided by compiler;;;;Recommended value;Provisional value;Recommended value;;;Provisional value;;;Recommended value;Recommended value;Recommended value;;;;Recommended value;Provisional value;Recommended value;Provisional value;;Recommended value;;;;Recommended value;Provisional value;Recommended value;Provisional value;;Recommended value;Provisional value;Recommended value;Recommended value;Recommended value;Not provided by compiler;Recommended value;;Recommended value;Provisional value;Recommended value;Recommended value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JLs-1;Concentration;0.0207;55.09;43.58;0.0178;0.0168;0.12;;0.14;0.105;;0.00297;;0.606;0.00209;0.00194;0.0295;0.12;0.002;0.0001449;0.0531454;;0.000492542;;;;0.034887;;0.000397079;0.00056565;;0.0013;;0.145;0.0000667;0.45;476;;;0.5;;;0.159;0.521;5.8;0.0825;3.37;0.0201;0.268;0.0283;0.014;0.0072;57.5;;;0.03;;;0.126;0.0056;0.0046;;;;;0.153;0.2;0.022;;;0.6;;;1;0.136;0.362;;;;0.7;bdl;0.032;bdl;;0.18;;;;123;0.0166;0.0307;0.03;;0.135;0.08;295;0.014;0.0041;1;0.0287;;0.003;;1.75;3.59;0.21;0.223;0.0164;3.19;4.19;11.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JLs-1;Detection Limit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0002;;0.0005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JLs-1;Uncertainty;0.00624;0.331;0.532;0.0068;0.00178;;;0.0436;0.02;;0.0000816;;0.0626;0.000536;0.000407;0.00198;0.0226;0.00141;;0,005080075;;8.33084E-05;;;;0.001797567;;8.58885E-05;0.0004023;;;;0.0081;0.000351;;45.5;;;;;;0.0052;0.317;;0.0443;0.57;0.0115;0.08;0.0042;;0.0025;54.9;;;;;;0.093;;;;;;;0.035;;0.0117;;;;;;;0.043;0.067;;;;;;;;;;;;;16.8;;0.0011;;;0.074;;15.2;;0.0003;;0.009;;;;0.29;0.99;;0.047;0.003;0.69;2.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JLs-1;Units;%;%;%;%;%;%;;%;%;;%;;%;%;%;%;%;%;%;%;;%;;;;%;;%;%;;ppm;;ppm;ppm;ppm;ppm;;;ppm;;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;ppm;;;ppm;ppm;ppm;;;;;ppm;ppm;ppm;;;ppm;;;ppm;ppm;ppm;;;;ppm;ppm;ppm;ppm;;ppm;;;;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JLs-1;N;12;21;7;6;15;1;;3;8;;6;;22;16;9;13;12;4;1;16;;12;;;;17;;12;4;;2;;3;3;1;16;;;2;;;6;9;1;9;12;6;5;6;1;9;6;;;2;;;6;2;1;;;;;8;1;7;;;2;;;2;3;6;;;;2;1;2;1;;2;;;;5;2;9;2;;9;1;17;2;4;1;9;;2;;13;5;1;5;5;12;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JLs-1;Data Quality;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;;Provisional value;Recommended value;;Recommended value;;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;Not provided by compiler;Recommended value;;Recommended value;;;;Recommended value;;Recommended value;Provisional value;;Provisional value;;Provisional value;Provisional value;Not provided by compiler;Recommended value;;;Not provided by compiler;;;Recommended value;Recommended value;Not provided by compiler;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Not provided by compiler;Recommended value;Recommended value;;;Provisional value;;;Recommended value;Provisional value;Not provided by compiler;;;;;Recommended value;Provisional value;Recommended value;;;Not provided by compiler;;;Provisional value;Provisional value;Recommended value;;;;Provisional value;Provisional value;Provisional value;Provisional value;;Provisional value;;;;Recommended value;Provisional value;Recommended value;Not provided by compiler;;Recommended value;Not provided by compiler;Recommended value;Provisional value;Provisional value;Not provided by compiler;Recommended value;;Recommended value;;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JP-1;Concentration;0.66;0.55;;1.98;8.37;5.99;;2.39;0.44;;0.003;;44.6;0.121;0.021;0.002;42.38;0.006;0.0004508;2.18E-03;;4.10E-01;;;;3.93E-04;;5.20E-03;0.0007992;99.42;1.5;3500;0.34;0.23;1.4;19.5;bdl;;0.36;764;3900;0.011;0.19;97;116;2807;0.15;6.72;0.022;0.016;0.004;14;5.85;0.7;0.015;0.49;;0.2;0.0053;0.018;bdl;0.0044;0.002;20;0.084;1.79;0.0044;;940;0.087;;160;1.48;0.072;2458;;0.0079;9;0.12;0.0013;0.02;0.0049;;0.8;0.000015;;0.0065;26.9;0.034;7.24;0.0063;;0.019;0.05;3.32;0.02;0.003;1;0.19;;0.003;bdl;0.036;27.6;0.85;1.54;0.022;41.8;5.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.708582;;;;;;;;;;;;;;;;;;;13;;
JP-1;Detection Limit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;5.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.041;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JP-1;Uncertainty;;;;;;;;;;;;;;;;;;;;0.00104951;;3.08E-02;;;;2.22E-04;;9.58E-04;0.0002457;;;;0.051;0.087;;9.4;;;;;;;;;8.3;211;;2.14;0.0036;;;;;;;;;0.072;;;;;;;0.047;0.19;;;;;;;0.95;;177;;;;;;;;;0.5;;;;;;0.32;;;0.0099;;1.88;;;;0.087;;;;0.027;7;;0.94;0.0041;7.7;1.82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JP-1;Units;%;%;;%;%;%;;%;%;;%;;%;%;%;%;%;%;%;%;;%;;;;%;;%;%;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ratio;;;;;;;;;;;;;;;;;;;MA;;
JP-1;N;;;;;;;;;;;;;;;;;;;5;16;;26;;;;13;;29;15;;4;;5;4;5;16;3;;1;1;;3;5;3;24;26;4;17;4;2;6;3;;3;3;2;;8;3;4;1;2;2;;7;4;4;;;5;;;10;4;28;;2;;4;3;3;2;;9;2;;2;3;4;12;2;;7;3;13;5;4;1;6;;4;2;11;21;3;10;6;29;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;
JP-1;Data Quality;Recommended value;Recommended value;;Recommended value;Recommended value;Recommended value;;Recommended value;Recommended value;;Recommended value;;Recommended value;Recommended value;Recommended value;Provisional value;Recommended value;Provisional value;Provisional value;Recommended value;;Recommended value;;;;Provisional value;;Recommended value;Recommended value;Not provided by compiler;Provisional value;Recommended value;Recommended value;Provisional value;Provisional value;Recommended value;Provisional value;;Provisional value;Provisional value;Recommended value;Provisional value;Provisional value;Provisional value;Recommended value;Recommended value;Provisional value;Recommended value;Provisional value;Provisional value;Provisional value;Provisional value;Recommended value;Provisional value;Provisional value;Provisional value;;Recommended value;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;Recommended value;Recommended value;Provisional value;Provisional value;;Recommended value;Provisional value;;Recommended value;Recommended value;Provisional value;Recommended value;;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;;Provisional value;Provisional value;;Provisional value;Provisional value;Provisional value;Recommended value;Provisional value;;Recommended value;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;Recommended value;;Provisional value;Provisional value;Recommended value;Recommended value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provisional value;;;;;;;;;;;;;;;;;;;Provisional value;;
JR-1;Concentration;12.83;0.67;;0.35;0.89;0.49;;1.16;0.2;;4.41;;0.12;0.099;4.02;0.021;75.45;0.11;0.037674;0.005615995;;0.000413619;;;0.0281;0.003441395;;0.003808966;0.0134865;99.96;0.031;6.79;16.3;0.00025;117;50.3;3.34;0.56;6;70.8;4800;0.026;47.2;920;0.83;2.83;20.8;2.68;5.69;3.61;0.3;991;6200;16.1;5.06;1.88;;4.51;0.0034;1.11;0.08;0.028;;3.66;19.7;61.4;0.71;;770;3.25;;2.98;15.2;23.3;1.67;;bdl;90;19.3;bdl;5.58;bdl;;257;0.000046;;;13.3;1.19;5.07;0.006;;6.03;2.86;29.1;1.86;1.01;1;26.7;;1.56;0.67;8.88;7;1.59;45.1;4.55;30.6;99.9;;;;;;;;;;;;;;;;;;;;;;;;0.0228505;;;;;;;;;;;;;;;;;;;;;;;;0.51285;;;;;;;;;;;;;;;;;;2.85;2.81;0.99;;0.70421;;;;;;;;1.015;;;;;;;;;;;0.73;;
JR-1;Detection Limit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0007;;;0.0002;;0.0005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JR-1;Uncertainty;;;;;;;;;;;;;;;;;;;0.010948;0.00113883;;0.000203155;;;0.0017;0.000614957;;0.00057259;0.0008505;;;;2.3;0.00011;34;10.2;0.62;0.09;;10.2;;0.01;4.3;81;0.59;1.39;2.6;1.24;1.06;0.91;0.041;112;;1.4;1.05;0.64;;0.67;;0.24;;0.012;;;1.77;5.3;0.08;;;0.58;;;1.7;2.8;1.17;;;;3.8;;0.69;;;16;;;;4.5;0.18;0.54;;;0.81;0.77;5.2;0.33;0.2;;2.6;;0.13;0.071;1.32;2.44;0.84;5.2;0.46;4.6;6.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00004;;;;;;;;;;;;;;;;;;;;;
JR-1;Units;%;%;;%;%;%;;%;%;;%;;%;%;%;%;%;%;%;%;;%;;;%;%;;%;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;;%;ppm;ppm;ppm;;ppm;ppm;;%;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;;;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pCi/g;pCi/g;ACT/R;;;;;;;;;;ACT/R;;;;;;;;;;;MA;;
JR-1;N;;;;;;;;;;;;;;;;;;;12;35;;30;;;58;56;;48;38;;6;;11;7;12;35;10;8;2;5;;8;40;8;26;30;24;25;23;19;31;13;;12;20;5;;21;3;16;1;4;;;40;15;29;;;14;;;30;31;24;;1;;28;2;16;2;;58;2;;;6;8;26;4;;36;12;56;17;20;1;36;;8;10;40;27;6;40;31;48;38;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;1;1;;3;;;;;;;;1;;;;;;;;;;;2;;
JR-1;Data Quality;Recommended value;Recommended value;;Recommended value;Recommended value;Recommended value;;Recommended value;Recommended value;;Recommended value;;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;;Recommended value;;;Recommended value;Recommended value;;Recommended value;Recommended value;Not provided by compiler;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;;Recommended value;Provisional value;Recommended value;Provisional value;Provisional value;;Recommended value;Recommended value;Recommended value;Recommended value;;Recommended value;Recommended value;;Recommended value;Recommended value;Recommended value;Provisional value;;Provisional value;Recommended value;Recommended value;Provisional value;Recommended value;Provisional value;;Recommended value;Provisional value;;;Recommended value;Recommended value;Recommended value;Provisional value;;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;Recommended value;;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;;;;;;;;;;;;;;;;;;;;;;;;Provisional value;;;;;;;;;;;;;;;;;;;;;;;;Provisional value;;;;;;;;;;;;;;;;;;Provisional value;Provisional value;Provisional value;;Not provided by compiler;;;;;;;;Provisional value;;;;;;;;;;;Provisional value;;
JSd-2;Concentration;12.31;3.658;0.501;4.552;11.65;5.955;;2.554;0.451;;1.145;;2.731;0.12;2.438;0.105;60.78;0.614;;0.1338684;;0.01578474;;;;0.02388872;;0.2559227;0.014985;;1.04;;38.6;0.0546;;1199;1.04;;1.3;;;3.06;23.4;28;48.4;108;1.07;1117;2.86;1.48;0.81;259;;15.3;2.67;;;2.7;0.106;0.678;;0.29;;;11.3;19.2;0.252;;;11.5;;;4.56;13.2;92.8;;;;146;0.0212;2.4;0.0167;;26.9;;;;1.31;12.5;17.5;18.8;;2.68;32.5;202;0.515;0.44;;2.33;;0.45;0.23;1.1;125;14;17.4;1.67;2056;111;3160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JSd-2;Uncertainty;0.164;0.0534;0.144;0.672;0.386;0.263;;0.21;0.17;;0.0275;;0.0717;0.00815;0.0841;0.0222;0.411;0.0466;;0.005995605;;0.000663544;;;;0.000723757;;0.02365044;0.0027;;;;3.19;;;53.7;0.25;;;;;0.098;2.02;;2.27;4.54;0.24;76.8;0.35;0.27;0.049;99.3;;3.18;0.57;;;0.2;;0.24;;;;;0.9;3.53;0.054;;;2.24;;;1.42;2.81;3.33;;;;9.11;;1.02;;;1.46;;;;0.064;;0.95;0.76;;0.22;3.14;6.12;0.157;0.036;;0.16;;;;0.065;4.17;;1.65;0.31;190;20;925;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JSd-2;Units;%;%;%;%;%;%;;%;%;;%;;%;%;%;%;%;%;;%;;%;;;;%;;%;%;;ppm;;ppm;ppm;;ppm;ppm;;ppm;;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;;;ppm;ppm;ppm;;ppm;;;ppm;ppm;ppm;;;ppm;;;ppm;ppm;ppm;;;;ppm;ppm;ppm;ppm;;ppm;;;;%;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JSd-2;N;15;12;4;6;15;6;;5;8;;12;;15;16;14;13;13;15;;13;;14;;;;10;;14;11;;2;;9;3;;13;3;;1;;;3;11;2;13;14;8;10;5;5;8;5;;4;4;;;6;2;4;;1;;;10;4;8;;;5;;;9;9;10;;;;9;1;5;1;;13;;;;5;2;11;3;;8;3;10;4;7;;8;;1;2;7;8;2;12;10;14;11;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JSd-2;Data Quality;Recommended value;Recommended value;Provisional value;Recommended value;Recommended value;Recommended value;;Recommended value;Recommended value;;Recommended value;;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;;Recommended value;;Recommended value;;;;Recommended value;;Recommended value;Recommended value;;Provisional value;;Recommended value;Provisional value;;Recommended value;Provisional value;;Not provided by compiler;;;Provisional value;Recommended value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;;Provisional value;Provisional value;;;Recommended value;Provisional value;Provisional value;;Not provided by compiler;;;Recommended value;Provisional value;Recommended value;;;Recommended value;;;Recommended value;Recommended value;Recommended value;;;;Recommended value;Provisional value;Recommended value;Provisional value;;Recommended value;;;;Recommended value;Provisional value;Recommended value;Provisional value;;Recommended value;Provisional value;Recommended value;Provisional value;Recommended value;;Recommended value;;Not provided by compiler;Provisional value;Recommended value;Recommended value;Not provided by compiler;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JSd-3;Concentration;9.908;0.56;3.057;4.368;1.161;2.838;;0.964;1.971;;0.0325;;1.17;0.148;0.411;0.0817;76;0.403;0.0161;0.0515823;;0.005159271;;;0.0312;0.006941921;;0.01692874;0.01674;;3.38;;252;0.00566;50;462;9.08;23.8;3.9;;;1.045;42;39;12.7;35.3;30.6;426;2.22;1.07;0.686;3200;;13.5;2.63;;;3.21;0.254;0.443;;3.3;;;19.8;151;0.196;;;1.6;;;7.8;15.7;19.6;;;;82.1;0.0032;3.09;0.0013;;285;;;;399;2.78;10.5;1.29;;3.26;195;58.7;0.687;0.368;264;7.79;;2.1;0.155;1.66;70.4;179;14.9;1.4;136;124;6200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
